Locations
AKBAR PURA (SHINDI PAYAN)
Hasham Khel Dab
Jarma
Dagai
Zargar Mama
Satiana
Batta Mohri
Ratta Matta
Khuram Pur
Katuzai
Togh Bala
Sumita
Kata Khat
Dakki
Mayar
Rafique Abad
Unknown_8
Kundi
Jehangira
Kach Banda
Kangra
Dhok Ratta
Swan Mera
Gulistan Colony
Sakhra
Zara Miana
Khawaja Mad
Oweer
Langra
Thul Khair Mohammad K
Rakh Fazil Pur
Bareela
Thatta Gurmani
Gokand
Pabbar Wala
Nasrat Khel
Bar Aba Khel Kabal
Ismaila
Uch Bukhari
Balakot
Unknown_35
Sharifabad
Unknown_62
Punjani
Sanjarpur
Unknown_26
Devli
Usturzai
Dheri Julgram
Keyal
Qaim Bharwana
Makori
Mandhra
Unkno
Suddhar
Uch Gilani
Havelian
Mulkoh
Mughalki
Unknown_11
Urban_7
Bakhmal Ahmadzai
Korai
Rangpur
Kathwal
Unknown_54
Kala Dhaka
Ziarat Kaka Sahib
Pandik
Kat Garh
Gadaizi
Alo
Shagram
Rasul Pur
Maira Umarzai
Wan Patafi
Arandu
Panjpao
Tattar Khel Gulijan
Ghanool
Ladar Mang
Rehana
Dhoor Kor
Yaru
Showdag
Pakka Laran
Dara Tang
Goshli
Charbagh
Manki Sharif
Sandral
Samandoana
Unknown_28
Khalshalflam
Unknown_17
Dhoke Mangtal
Bir
Pir Adil
Siri Kot
Unknown_15
Khazana Dheri
Manday Baba
Seetpur
Unknown_18
Pir Abdul Rahman
Razar-ii
Topi East
Karang
Namal
Dhamial
Ghara Baloch
Gorwala
Yar Hussain East
Tazagram
Noora Khel Talashshahi Khel
Unknown_55
Bar Puran
Chakri
Ranman
Qadir Pur
Shaukatabad
Jijal
Chouki Mamrez
Gal Miadan
Binwala
Nara
Hinjal
Manduri
Pir Khel
Jalsai
Rashang
Dassu
Roshan Bhaint
Tall Uc
Tibbi Izzat
Wasu Aastana
Patti Ghulam Ali
Thul Shumali
Birot Kalan
Unknown_49
Khurram Colony
Jhanda Chichi
Shankiari
Baka
Chuprial
Kech
Dhodial
Sagayon
Urban_3
Toru
Shoukat Abad
Karbogha Uc
Unknown_52
Kirri Khaisore
Choga
Sakhkot Bandajat
Tarangri Sabar Shah
Unknown_4
Kabat
Unknown_14
Dobair Bala
Namli Mera
Sat Bani
Raisan
Chak Naudeh
Sum Elahi Mang
Unknown_51
Zarobi
Sultan Khel
Balam Bat
Unknown_13
Unknown_60
Kokarai
Pir Kot Sadhana
Choukara
Sher Kot
Batairspayeen
Salim Khan
Cantonment Area
Darwesh
Balochistan
Bakka Khel Wazir
Mangah
Sir Bhanna Phal Kot
Kozabandi
Shaman
Mitha Khel
Malikpur
Beshigram
Pairan
Palai
Badrashi
Palo Dheri
Terich
Syed Imam Shah
Dusara
Rahim Yar Khan
Band Korai
Lunda Sharif
Chapper
Kosht
Utra Sandaila
Behali
Okhli Mohla
Kalam
Koz Abakhel Kabal
Botial
Shah Pur
Tajori
Asbanr
Shakar Dara
Mohan Pura
Qasmi
Bin Wala
Shaidani Sharif
Jatti Pind
Barsharyal
Munjai
Hangrai
Darka Sulman Khel
Sarangzona
Sawal Dher
Bala Garhi
Tirat
Tofkian
Ziamdara
Mareen
Mandoori
Rangeel Pur
Latambar
Paniala Town
Deri
Batila
Ghazni Khel
Sard China
Unknown_5
Malik Pur
Darsmand Uc
Unknown_53
Rodu Sultan
Unknown_47
Taligram
Hazara
Parhana
Jabar
Khan Pur
Yar Hussain West
Khan Mahi
Kati Garhi
Rashaki
Sawni
Shah Mansur
Garlat
Kharmatu
Nawagai
Unknown_41
Ranolia
Dabrah
Shah Sadar Din
Mera Akora Khattak
Unknown_40
Nissatta
Sabir Abad
Thatha Qureshi
Barawal
Shamlai
Attar Shisha
Warspoon
Bhogar Mang
Narai
Wari
Chindro Dag
Thand Kohi
Kota
Sakhi Sarwar
Shadi Khan Munda
Sazeen
Barabandi
Sher Pao
Mohib Banda
Kota Kot
Chakianan
Sher Shah
Ghundi Mira Khan Khel
Dheri
Baydara
Gandira
Unknown_22
Rustam
Nathia Gali
Kopper
Shah Sadiq Nahang
Ali Khan
Mianki Banda
Unknown_57
Samandi
Daud Shah
Naranji
Nunari
Bandi Nihag
Chandia
Ziam
Patti Bulanda
Paigan
Dangram Sangota
Kot Daulat Zai
Maira
Tarand
Ranjhe Khan
Haji Zai
Bal Dheri
Totanobandi
Ali Kharak
Phagala
Kuza Banda
Komila
Sheikh Chhuhar
Bahawalpur Khalwan
Tabisar
Kaka Khel
Sikandar Abad
Batgram
Gawal Mandi
Khuda Bux Mehar
Khojari
Tola Bhangi Khel
Bibiawar
Lakki (urban)
Taja Zai
Musa Khail
Unknown_45
Pahari Kati Khel
Khazana
Drosh 1
Panjgran
Tani Khel
Dogdara
Showar
Wahi Hussain
Mira Khel
Quaidabad
Behram Khel
Mahand
Tibba Meharban Shah
Jajshoi
Jani Khel
Sherwan
Naivela
Garhi Phulgran
Pashora
Najaf Pur
Kuz Paro
Landi Wah
Pelowance
Bandi Sher Khan
Aba Zai
Khairabad
Pir Bux Sharqi
Rajarhoo
Pir Sabaq
Chaudhawan
Wains
Jabri
Sonak
Qambar
Ghunda Karkana
Bagra
Mankial
Banian
Qalagay
Agra
Thana Bandajat
Odigram
Zaida
Tribal Area
Unknown_44
Mandani
Sabaiwala
Wah Lushari
Aka Maruf Bami Khel
Khal
Peach Bela
Sharif Chhajrah
Chanab Rasoolpur
Dar Band
Kalinjar
Mali Khel
Misri Banda
Urban_8
Abdul Khel
Hero Shah
Aba Khel
Garhi Daulat Zai
Tordher
Takhat Nasrati
Mansehra Rural
Manglawar
Sultanpur
Ganj Mandi
Chor Laki
Sahan Wala
Unknown_31
Unknown_36
Raja Ram
Sundal
Umar Zai
Malana
Jandri
Tur Landi
Muhammad Khawaja
Unknown_6
Khero Khel Pacca
Unknown_25
Behlool Khail
Musa Zai Sharif
Gara Isa Khan
Wadoor
Sarki Titara
Fatima
Zaffar Abad
Kakol
Kotigram
Chhappar
Dingi
Dhoke Chiragh Din
Wan Bhachran
Bheer Kund
Shahbaz Azmat Khel
Lahoer Raporai
Jhanda
Dilbori
Mohammad Khel Wazir
Unknown_10
Maho Dheri
Charguli
Mingora Urben
Kalakalay
Khungai
Seo
Saro Shah
Barkot
Pai Khel
JALLO ZAI
Sabzani
Mandak
Adina
Chakdara
Takar
Kandar
Trinda Gurgaij
Qillah
Ghabsani
Mamash Khel Naughari
Palam
Seri Behlol
Bandi Attaikhan
Masha Mansoor
Norezai
Rashidpur
Asherat
Amazai
Thamme Wali
Kotehra
Kunda
Luni
Unknown_1
Selai Patti
Topi West
Sarai Niamat Khan
Sarai Naurang
Asota
Garhi Ismail Zai
Unknown_48
Warter
Murghuz
Yousaf Shah
Thoti
Ranwal
Saleh Mehey
Dallan Uc
Pukkewala
Bahrain
Shah Kot
Pattal Munda
Shogore
Seer Gharbi
Sikander Pur
Lilowani
Tuman Qaisrani
Pir Piai
Lassan Nawab
Elai
Unknown_50
Isak Khel
Koto
Mambati Barakzai
Urban
Drosh 2
Dhaman Syedan
Koz Behram Dheri
Kotha
Unknown_21
Labar Kot
Tarakai
Khair Pur Dhaha
Kuz Jalkot
Chakisar
Rahdari
Unknown_3
Grai
Sukhail
Karak (southern)
Mc
Unknown_29
Qolundy
Dewal Manal
Kiri Shamozai
Pai
Bala Kot
Tal
Gorini
Charun
Shohal Mazullah
Sarishtah Thal
Gujrat
Bagh Drush Khel
Kohat (urban) Uc-
Qurashian
Gumbat
Parkho Dheri
Khadagazi Abazai
Kot Jongarh
Shenawa Gudi Khel
Sanda Sar
Shared
Shamozi
Jalala
Qazi Pur
Hayaseri
Nar Sultan Muqarab
BALU
Karab Kala
Ganori
Maqsood
Uchgal Imam
Pattan
Jatta Ismail Khel
Kotkai T
Gujar Garhi
Unknown_32
Bunerwal
Muriali
Sur Gul
Mc Mansehra
Yarkhoon
Devli Jabbar
Khaishki Payan
Ahmad Khel
Mada Khail
Kotla Musa Khan
Machai
Rohlan Wali
Unknown_19
Warchha
Khushal Garh
Unknown_46
Khyber Pakhtunkhwa
Batagram
Dhobian
Noora Khel Talash
M.c. Jehangera
Unknown_7
Bakhshali
Roda
Unknown_43
Shah Jamal
Ahmadabad
Madyan
Bataira Bala
Batkul
Ghazi
Purana Qila
Vanjari
Shahmat Pur
Sehja
Rojhan
Kohi Barmol
Maskenai
Hilkot
Shahikot
Shah Jeewana
Bizan Khel
Adam Zai
Wang
Tarbela
Mar Mandi Azim
Gul Imam
Bakot
DAG BAISUD
Nizam Dherma Khel
Opel
Karnol
Urban_6
Bili Tang
Sakkar Gah
Torwarsak
Bandagai
Lot Koh
Kot
Pabni
Panj Pir
Jatataar
Maniri Bala
Kalabat
Kuz Parwa
Bariyar
Shin
Unknown_58
Kot Jai
Serai Nauring
Ajmeerah
Batara
Palak
Phala
Jalloo
Mohabat Abad
Jahangir Abad
BANDA MOHIB
Pind Kamal Khan
Unknown_24
Dhoor Kot
Karak (northern)
Anbar
Alpuri
Shah Alam
Maddi
Chinglai
Parmooli
Sheikh Umar
Sarai Saleh
Dobair Pain
Shara Kot
Khar
Sheikh Jana
Kalkot
Kharki
Bahadur Kot
Siglo
Kotki
Darora
Malak Khel
Chani Goth
Unknown_12
Bakhtiari
Daraband
Sirya
Shamshi Khel
Biran Gali
Tarag
Gar Munara
Mir Pur
Ouch
Raj Dahari
Hisara Nehri
Main Kaly
Hattar
Bigwani Shumali
Bait Gali
Urban_1
Bannu Mc
Baharat
Sanjar
Tibbi Gul Mohammad
Panian
Wandar
Lachhra
Khaishki Bala
Mastuj
Adiala
Thatha Ghulwan
Kothiala
Wah Kohna
Matta Mughal Khel
Unknown_2
Ghurghushtu
Kahi
Chauntra
Unknown_59
Lahore Porai
Sherin
Pashto
Sial
Bar Jalkot
Paimal Sharif
Sukari Jabbar
Ziarat
Bhakkar
Panjgur
Khairpur
Narowal
Thatta
Multan
Sukkur
Layyah
Gujranwala
Kashmore
Dadu
Mianwali
Dera Ghazi Khan
Sargodha
Chitral
Lakki Marwat
Zhob
Sialkot
Killa Abdullah
Sahiwal
Vehari
Mardan
Faisalabad
Khuzdar
Nasirabad
Chiniot
Karachi West
Karachi Central
Tharparkar
Hyderabad
Sibi
Toba Tek Singh
Tando Muhammad Khan
Mansehra
Okara
Korangi Creek Cantonment
Peshawar
Swat
Noshki
Upper Dir
Dera Bugti
Karak
Killa Saifullah
Shangla
Kohlu
Lodhran
Karachi East
Kohat
Musakhel
Chaghai
Awaran
Jhang
Haripur
Khushab
Chakwal
Buner
Badin
Nowshera
Jhelum
Malir
Khanewal
Larkana
Gwadar
Jamshoro
Tando Allahyar
Sheikhupura
Naushahro Feroze
Lasbela
Pakpattan
Karachi Cantonment
Kharan
Mirpur Khas
Pishin
Lahore
Karachi South
Qambar Shahdadkot
Jacobabad
Mustung
Matiari
Kasur
Muzaffargarh
Shikarpur
Kech At Turbat
Attock
Bannu
Charsadda
Jhal Magsi (kachhi)
Malakand P.a.
Rawalpindi
Jaffarabad
Faisal Cantonment
Sanghar
Lower Dir
Clifton Cantonment
Shaheed Benazirabad
Ghotki
Tank
Hafizabad
Bolan
Bahawalnagar
Barkhan
Korangi
Bahawalpur
Abbottabad
Manora Cantonment
Mandi Bahauddin
Dera Ismail Khan
Malir Cantonment
Loralai
Kohistan
Quetta
Hangu
Kalat
Kabirwala
Naushera Virkan
Bhalwal
Chattar
Rawalpindi Tehsil
Bakrani
Fr Kala Dhaka
Kambar Ali Khan
Duki
Dir
Pasni
Kot Addu
Garhi Khairo
Renala Khurd
Sarai Alamgir
Sangan
Pind Dadan Khan
Khairpur Tamewali
Isakhel
Phalia
Dunyapur
Takht E Nasrati
Ubauro
Rohri
Tangwani
Layari
Kamoke
Sanni
Dobandi
Jand
Moro
Jatoi
Timergara
Jaranwala
Garhi Yasin
Dera murad jamali
Muslim Bagh
Jamshed Town
Fatehjang
Jhat Pat
Kut Mandai
Yazman
Orangi Town
Barshore
Mawand
Bhiria
Chamla
Gujranwala Saddar
Jam Nawaz Ali
Wazirabad
Landi Town
New Karachi Town
Bulri Shah Karim
Alai
Tall
Mankera
Jiwani
Chamber
Topi
Phellawagh
Peshawar I
Hala
Sindhri
Khanpur
Haroonabad
Kaker Khurasan
Fortabbas
Gulistan
Sam Ranizai
Loi Band
Mailsi
Naal
Matli
Kot Diji
Gambat
Kotri
Faiz Ganj
Ahmadpur East
Sui
Jhudo
Samaro
Digri
Keti Bunder
Sohawa
Jhal Jhao
Arifwala
Pasrur
Dureji
Hassanabdal
Kharo Chan
Khipro
Kabal
Tando Adam
Chachro
Domel
Sillanwali
Turbat
Tando Bago
Sehwan
Mian Channu
Gojra
Mirwah
Lakhi
Jalalpur Pirwala
Baba kot
Kehror Pacca
Chishtian
Zehri
Kingri
Daur
De-excluded Area D.g Khan
Uthal
Dall Badin
Jhando Mari
Babuzai
Minchinabad
Sherani
Latifabad
Multan City
Sobho Dero
Dokri
Korangi Town
Shahdadpur
Miro Khan
Martung
Buleda
Gowargo
Thul
Ghorabari
Tamboo
Zarghoon Town
Tandlianwala
Faisalabad Saddar
Manjand
Depalpur
Shah Faisal Town
Karor Lal Esan
Shaheed Fazil Rahu
Daharki
Pindi Bhattian
Mirpur Bathoro
Qubo Saeed Khan
Gujranwala City
Burewala
Hyderabad City
Gujar Khan Tehsil
Pano Aqil
Warah
Chiksar
Nokundi
Gulshan E Iqbal Town
Kiamari Town
Daulat Pur
Tangi
Gandawa
Panjpai
Moola
Shujabad
Jati
Jhal Magsi
Nawabshah
Taxila Tehsil
Palas
Chagharzai
Swat Ranizai
Pindi Gheb
Sinjavi
Puran
Badinai
Usta Muhammad
Banda Daud Shah
Surab
De-excluded Area Rajanpur
Kot Ghulam Muhammad
Multan Saddar
Taunsa
Darya Khan
Kan Mehtarzai
Kandh Kot
Pabbi
Chichawatni
Kotli Sattian Tehsil
Chak Jumra
Shahdad Kot
Alipur
Lalian
Saddar Town
Kharian
Qasimabad
Mushkhel
Malikwal
Pithoro
Matta Khararai
Mach
Katlang
Ferozewala
Nankana Sahib
Liaquat Pur
Bela
Paharpur
Pir Baba/ Gadaizi
Dhadar
Ahmedpur Sial
Murree Tehsil
Tump
Hasilpur
Gulbarg Town
Malir Town
Hub
Baldia Town
Site Town
Diplo
Basima
Khangarh
Kunri
Chunian
Safdarabad
Khairpur Nathan Shah
Bhag
Liaqatabad Town
Bisham
Mashkai
Piplan
Chaubara
Sakrand
Jampur
Talagang
Ormara
Shinkai
Nagar Parkar
Noorpur
Dasht
Lehri
Mirpur Sakro
Kamalia
Tando Gulam Hyder
Gadap Town
Hussain Bux Muree
Sohbatpur
Daska
Pattoki
Chilton Town
Kahuta Tehsil
Shah Bunder
Kalur Kot
Sujawal
Mirpur Mathelo
Sinjhoro
Kulachi
Johi
Shakargarh
Lachi
Jehanian
Lahor
Ratodero
Shorkot
North Nazimabad Town
Bhawana
Mehar
Choa Saidan Shah
Bin Qasim Town
Karezat
Samundri
Wadh
Mithi
Chaman
Kandiaro
Kahan
Faisalabad City
Talhar
Takht Bhai
Gandakha
Thano Bula Khan
Matta Sebujni
Salehpat
Husri
Shinghar Sou
Machi Singh
Ajnian Wala
Malikpura
Dullo Khurd Kalan
Naharaan Wal
Hameed
Kasur-2
Pir Ghani
295 Gb
158 Gb
Narang - 1
Kanhar
Shaikh Moosa
Bhelol Pur
Uc-9 Mujahid Colony
Bhota Wahan
Hala Old
Manjhooti
251 Gb
Unknown1
Uc-6 Gillani Railway Station
Surizai Bala
Pejoke
Shahpur Phul
Kotla Qaim Khan
Pasroor - 1
Kothiwala
Mattani
Ali Wali
Garhi Kala
198/eb
Chak No.050/mb
Haloke
Uc-1 Gulshan-e-ghazi
Kopra Uncha
Ajiwala
Wejhiar
Faleezpur
Ahmad Pur Lamma
Chak No.83 R
Nangal Kaswa
Pangrio
Shaboo (H-43)
Begum Pura
164-a/t.d.a
Dilawar Chee
Goindke
Badani
Islam Kot
Mad Bahora
Arazi Dilawa
93/9.l
Trop
Gunj Muhalla
223/eb
357 Wb
Ghuryasa
Uc-8 Gaho Pat
Ghona
Thata Sadiqa
Gojra - 6
Uc-5 Bhagdadi
Chak No.96/s
Kantio
Piro Faqir Shoru
Saroona
Hair
173/eb
Sheikhan
Pathar
Toj
Kabirwala -
Jallah Jeem
Ghaziabad
Thano Arab Khan
Chak No. 548
Bhana Mari
Nand Pur
Laluwali
Baberloi
Landi Arbab
Sobhaga
Padshahan
Bonistan
Radha Ram
Bagar Sargan
Misripur
Mutfariq Chahan
Badaber Maryamzai
Iskaloo
Makhdoom Sahib
Shah Nikdar
Nauraja
Khour
Kot Jubo
Hinjraee
Lukman
Kazi Arif
Malik Akhter (H-6)
Basti Shadoo Khan
Shahdadzai
Thul Nao
Uc-2 Darya Abad
Daska - 4
Chak No. 631
Mirpur Bhagal
Nahaqi
Chak No. 353
Khukha
Uc-4 Gujjro
Lilla
Chaukera
34/eb
Al-faisal Town
Alamdar (H-13)
Chak Choudry
Chak 208
Aitbar Khan Chandio
Dhilan Wali
Kot Qazi
Jailo
100/15-l
76/10-r
Khemta
Hundal
Kajili
Handal
Baigowala
30/sp
Mianwali Qureshian
Mehaz
Kanjror
Hasham Colon
Gul Mohammad Baran
58/gd
Israni
Sijawal
Thal
Haji Shah
Okara -4
Inayati
Mughalpura
Noora Rath
Sardar Essa Khan (H-8)
Hazar Khawani Ii
98/eb (shokh
Bhalwal - 2
Sanda Khurd
Langarkey
Depareja
Uc-12 Gulzar-e-hiijri
Renala-2
Veesar
Uc-1 Azad Nagar
Muazam Abad
Gujranwala C
Sahiwal - 1
Manga
154 Gb
Pir Bakhsh Bhutto
Chak 4/4l
Pandat Manph
Narhal
Kafoor Dehri
Kala Bagh
Haji Sawan
67/5.l
Kot Sarwar
Rukan Pura
Karyal
Bhoa Hassan
Mianwal
Kandwal
110/12-l
Achini Bala
Mughlabad
Sonda
Mahant Darsh
Bhalwal - 4
Uc-5 Machar Colony
126/15-l
80/10-r
Therhi
Chowk Azam
Pattoki No 1
Uc-6 Gulshan-e-hadeed
Nasia
Jalalpur Sha
Chak No. 86/
423 Jb
Langho No 02
15/wb
Setarja
Khothian
Loung Bhatti
Uc-9 Hasrat Mohani
Uc-1 Ibrahim Hayderi
Pattoki No 3
Mancharian
Raniwal
Purano Abad
Khan-jo-goth
Thatha Kheru
Jahan Pur
Karani
Dhunn Kalan
Chattian Wal
Saidokot
Chunian No 2
Uc-13 Shah Nawaz Bhutto
Gondalan Wal
Bhagowal Awa
Maizai
Suffaid
Lakha
6/11.l
Kechi Baig (H-59)
Chak No. 186
Coleki
13/eb
Urmar Bala
Uc-10 Zulfiq
Haibat
Kanjier
Uc-3 Drigh Colony
Belo
Uc-1 Muzzafarabad
Allahyar Jotta
Dhanila
Fazal Bhambro
Attari Saroba
Baghaw
Gujrat - 2
Mailsi (east
Shhato Mangi
Uc-26 Imdad
Chak No. 648
Umeed Gerh
Kandan Siyan
Marh Bhan Go
138 Sb
Chak No. 455
Akram Abad
Jehangir Pura
Kasur-4
Uc-10 Buffar Zone-1
Jinnah Hall
Ibrahim Pur
Kallur
Chorota
Kumbleema
Sataryoon
Sanda Kalan
Chak Sadar D
Manjhoo
Golra
Sakrand 02
Budhla Sant
Kirto
Dharg Miana
90 Nb
Khewali
Chak 11/1-l
Uc-9 Gulshan-e-iqbal 2
Tajpur
Kot Lakhnana
Uc-7 Water Pump
Chak No 098/d N B
Chak No.446/jb
Glotian Khur
Mathra
Muslim Colon
Uc-11 Dad Nagar
Marriabad (H-15)
Baroot
Uc-4 Godhra
Uc-3 Gadap
Chak No. 155
Chak No. 106
Ranwati
Golpur
Latki
Tunia
Maryamzai
Qila Ram Kou
Shah Pur Cit
Jangian
Lal Saga
Maraka
Bhanoth
Dohlam
Chanre
Chak No. 566
Godhpur
Sohawa Dillo
Dharnal
Kewan
Ismail Nagar
Kashmore-i
Gul Mohammad Langah U
Kharu Ro Syed
Munian Wala
Pahar Muree
Sansra Goria
Langriali
Kull
Baghbana
Tareen (H-36)
Angori Bagh
384 Wb
Mian Pur Bailey Wala
Saida
Okara -2
Peer Skandar
Sagwan
Dongian
Katha Sagral
Unknown18
Pachnand
Abad Karkh
Siddique Pura
Ghaga Miter
Uc-3 Islam Nagar
88 Sb
Uc-4 Muhammad Nagar
Jam Noorullah
Dhaiwal
Kasur-11
82/12-l
Bara Manga
Kotla Qasim
Deori Chak N
Haiderabad
Zorgar
Latkaran
Chikori Bhal
Shehbaz Pur
Tajjal
Baz Wala
Akbar
Salhoke
Behlol Pur
Unknown_65
Chak No. 268
Rang Mahal
Gurhi
Yaka Toot-ii
Chak No 192/murad
Baleli (H-62)
Gadru
Chak No 067/m.l
Jamke Chatha
Kot Mir Mohammad
Shum Kalohas
Dufli Kabir Khan
Khadam Abad
Nali Shumali
Dher Umaid Ali Shah
Bhirkan
61/a/15-l
Bangla Yasmeen
Kotla Gamun
Alude Wala
Faqir Muhammad (H-7)
Jhakhar
Chak Farazi
Galli Jagir
Uc-8 Jat Lane Lines
Jajja Abbassian
Unknown3
Uc-6 Gulzar Colony
Khadharo
Phulji
Kakar
Dheri Baghbanan
Nindapur
Papnakha
Uc-5 100 Qurts
Bheli
Jamrani Wah
Phulliane
Majoka
425/eb
Bhullair
565/t.d.a
Badin 3
Nasser-ud-di
Chak 53/2l
Sari
Beelay Wala
Mithalak
Darab Pur
Nala Musani
Chak No. 514
403/eb
Ratta Khana
Bolhari
Piro Lashari
Attock - 2
Chak No.113
Chak No 188/murad Chonawala
Uc-3 Aisha Manzil
Bahadar Garh
Chak No. 591
Tehi
Mowakal
Chak No. 193
40 Sb
Housing Sche
Aabgum
Khanewal - 3
Badin 2
Chogatta Pan
Qureshian Wa
Sargana
Adalpur No 24
Tamachani
Dandi
Jiando Rajper
Tagram
Jamara
Deowal
Lala Kalay
Narowal - 4
Rahim Shah
Main City
Atta Muhammad Pali
Hathiari
Dilsora
Uc-4 Moinabad
Marraro
Okara -3
Kharota Sayy
Patra Lope
Sami
Chak No. 66/
Uc-8 Rangiwara
Muzaffarpur Janubi
Chak 153
Daftoha
Hindiari
Shariqpur Sh
Ghanian
Chitkan
